,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
62,2,Olímpico,264,3,3,3,0,0,0,0,0,515.0,1980000
63,2,Santo Antônio,113,2,2,2,1,0,0,1,1,508.0,1130000
64,2,Fundação,61,2,1,1,1,1,0,1,1,550.0,331000
65,2,Cerâmica,90,2,2,2,0,0,1,1,0,1.0,990000
66,2,Santa Paula,106,3,3,3,0,1,1,1,1,450.0,550000
67,2,Cerâmica,68,2,1,1,0,0,1,1,0,385.0,6498000
68,2,Barcelona,68,2,3,3,0,1,1,1,1,561.0,450000
69,2,Barcelona,67,2,3,3,1,1,1,1,0,14.0,455000
70,2,Barcelona,88,3,2,2,1,1,1,1,0,775.0,450000
71,2,Santo Antônio,62,2,1,1,0,1,1,0,1,450.0,475000
72,2,Mauá,79,3,2,2,0,1,1,1,1,878.0,495000
73,2,Osvaldo Cruz,61,2,1,1,0,1,1,1,0,738.0,510000
74,2,Santa Maria,76,2,2,2,0,0,1,0,0,410.0,4199000
75,2,Boa Vista,79,3,3,3,0,1,1,1,1,447.0,700000
76,2,Olímpico,55,2,2,2,0,1,1,1,1,482.0,2969000
77,2,Santa Paula,174,3,3,3,1,0,1,1,0,478.0,990000
78,2,Boa Vista,65,2,1,1,0,1,1,1,1,300.0,365000
